timestamp,price,MA7,MA14,MA21,Buy_signal_Price,Sell_signal_Price
2024-06-20 00:00:00,64907.07460760319,,,,,
2024-06-21 00:00:00,64844.67441797763,,,,,
2024-06-22 00:00:00,64071.624284709695,,,,,
2024-06-23 00:00:00,64239.90348813148,,,,,
2024-06-24 00:00:00,63221.35738437477,,,,,
2024-06-25 00:00:00,60363.23497529626,,,,,
2024-06-26 00:00:00,61770.41387009536,63345.46900402691,,,,
2024-06-27 00:00:00,60749.89619402014,62751.58637351504,,,,
2024-06-28 00:00:00,61562.64532550036,62282.725074589725,,,,
2024-06-29 00:00:00,60317.09697945116,61746.36403098136,,,,
2024-06-30 00:00:00,60864.44316193428,61264.15541295319,,,,
2024-07-01 00:00:00,62734.39383945474,61194.58919225033,,,,
2024-07-02 00:00:00,62819.82226921849,61545.530234239224,,,,
2024-07-03 00:00:00,62042.5650371006,61584.40897238282,62464.93898820487,,,
2024-07-04 00:00:00,60244.68076433092,61512.235339570085,62131.91085654257,,,
2024-07-05 00:00:00,57189.17412408636,60887.45373936807,61585.08940697891,,,
2024-07-06 00:00:00,56739.86285107204,60376.42029245677,61061.39216171907,,,
2024-07-07 00:00:00,58230.4841542266,60000.14043421282,60632.147923583005,,,
2024-07-08 00:00:00,55880.3753776708,59020.99493967226,60107.79206596129,,,
2024-07-09 00:00:00,56665.14073352028,58141.7547202868,59843.64247726301,,,
2024-07-10 00:00:00,57988.30351208401,57562.57450242729,59573.49173740506,60830.81749294567,,57988.30351208401
2024-07-11 00:00:00,57704.20228446288,57199.649005303276,59355.94217243668,60487.82357279614,,57704.20228446288
2024-07-12 00:00:00,57388.19247916668,57228.080198886186,59057.76696912713,60132.75300428134,,57388.19247916668
2024-07-13 00:00:00,57899.28895749592,57393.71249980388,58885.06639613032,59838.83227441401,,57899.28895749592
2024-07-14 00:00:00,59152.71913887286,57525.46035475335,58762.800394483085,59596.585400639786,,59152.71913887286
2024-07-15 00:00:00,60942.32773996293,58248.596406509365,58634.795673090804,59488.06017947731,,60942.32773996293
2024-07-16 00:00:00,64835.48973321571,59415.78912075157,58778.77192051919,59701.02469175919,,64835.48973321571
2024-07-17 00:00:00,65162.23625234354,60440.63665507436,59001.60557875082,59862.54004329483,65162.23625234354,
2024-07-18 00:00:00,64136.31384360687,61359.50973495207,59279.57937012768,60023.79802660848,64136.31384360687,
2024-07-19 00:00:00,63959.56900809379,62298.277810513086,59763.17900469963,60137.937249589115,63959.56900809379,
2024-07-19 16:51:49,66300.90976187392,63498.509353995665,60446.110926899775,60422.880715418774,66300.90976187392,
